# npulse_e = 2
#    pol_e = (  1.000000000E+00, 0.000000000E+00, 0.000000000E+00 ) in-phase    
#          = (  0.000000000E+00, 0.000000000E+00, 0.000000000E+00 ) out-of-phase
#     hE_0 =  2.667700000E-01
#     hw_e =  1.140000000E-01
#    tau_e =  2.070000000E+01
#  delay_e =  0.000000000E+00
#    pol_e = (  1.000000000E+00, 0.000000000E+00, 0.000000000E+00 ) in-phase    
#          = (  0.000000000E+00, 1.000000000E+00, 0.000000000E+00 ) out-of-phase
#     hE_0 =  2.000000000E-01
#     hw_e =  1.140000000E-01
#    tau_e =  6.832000000E+02
#  delay_e =  1.138700000E+03
#    Time [ps]   , occupation                                        
 3.292632135E-07   1.000000000E+01
 5.811604719E-07   1.000000000E+01
 8.177024285E-07   1.000000000E+01
 1.030673170E-06   1.000000000E+01
 1.222746140E-06   1.000000000E+01
 1.398286793E-06   1.000000000E+01
 1.561027763E-06   1.000000000E+01
 1.713765092E-06   1.000000000E+01
 1.858522624E-06   1.000000000E+01
 1.996765148E-06   1.000000000E+01
 2.129568254E-06   1.000000000E+01
 2.257738293E-06   1.000000000E+01
 2.381893730E-06   1.000000000E+01
 2.502519778E-06   1.000000000E+01
 2.620005229E-06   1.000000000E+01
 2.734667594E-06   1.000000000E+01
 2.846770558E-06   1.000000000E+01
 2.956536315E-06   1.000000000E+01
 3.064154482E-06   1.000000000E+01
 3.169788650E-06   1.000000000E+01
 3.273581310E-06   1.000000000E+01
 3.375657607E-06   1.000000000E+01
 3.476128264E-06   1.000000000E+01
 3.575091880E-06   1.000000000E+01
 3.672636772E-06   1.000000000E+01
 3.768842457E-06   1.000000000E+01
 3.863780873E-06   1.000000000E+01
 3.957517378E-06   1.000000000E+01
 4.050111588E-06   1.000000000E+01
 4.141618076E-06   1.000000000E+01
 4.232086966E-06   1.000000000E+01
 4.321564439E-06   1.000000000E+01
 4.410093163E-06   1.000000000E+01
 4.497712665E-06   1.000000000E+01
 4.584459654E-06   1.000000000E+01
 4.670368304E-06   1.000000000E+01
 4.755470492E-06   1.000000000E+01
 4.839796018E-06   1.000000000E+01
 4.923372796E-06   1.000000000E+01
