# npulse_e = 2
#    pol_e = (  1.000000000E+00, 0.000000000E+00, 0.000000000E+00 ) in-phase    
#          = (  0.000000000E+00, 0.000000000E+00, 0.000000000E+00 ) out-of-phase
#     hE_0 =  2.667700000E-01
#     hw_e =  1.140000000E-01
#    tau_e =  2.070000000E+01
#  delay_e =  0.000000000E+00
#    pol_e = (  1.000000000E+00, 0.000000000E+00, 0.000000000E+00 ) in-phase    
#          = (  0.000000000E+00, 1.000000000E+00, 0.000000000E+00 ) out-of-phase
#     hE_0 =  2.000000000E-01
#     hw_e =  1.140000000E-01
#    tau_e =  6.832000000E+02
#  delay_e =  1.138700000E+03
#    Time [ps]   , Energy                                            
 3.292652679E-07   5.514082568E+00
 5.811646319E-07   5.514082568E+00
 8.177086178E-07   5.514082569E+00
 1.030681194E-06   5.514082570E+00
 1.222755818E-06   5.514082573E+00
 1.398297979E-06   5.514082576E+00
 1.561040345E-06   5.514082581E+00
 1.713778985E-06   5.514082587E+00
 1.858537760E-06   5.514082595E+00
 1.996781473E-06   5.514082604E+00
 2.129585725E-06   5.514082615E+00
 2.257756873E-06   5.514082627E+00
 2.381913389E-06   5.514082642E+00
 2.502540489E-06   5.514082658E+00
 2.620026968E-06   5.514082676E+00
 2.734690342E-06   5.514082696E+00
 2.846794296E-06   5.514082718E+00
 2.956561028E-06   5.514082743E+00
 3.064180154E-06   5.514082770E+00
 3.169815270E-06   5.514082799E+00
 3.273608864E-06   5.514082831E+00
 3.375686086E-06   5.514082865E+00
 3.476157657E-06   5.514082902E+00
 3.575122179E-06   5.514082942E+00
 3.672667968E-06   5.514082985E+00
 3.768874543E-06   5.514083030E+00
 3.863813842E-06   5.514083078E+00
 3.957551224E-06   5.514083130E+00
 4.050146305E-06   5.514083184E+00
 4.141653658E-06   5.514083241E+00
 4.232123409E-06   5.514083302E+00
 4.321601738E-06   5.514083366E+00
 4.410131314E-06   5.514083433E+00
 4.497751663E-06   5.514083504E+00
 4.584499497E-06   5.514083578E+00
 4.670408988E-06   5.514083656E+00
 4.755512014E-06   5.514083737E+00
 4.839838376E-06   5.514083822E+00
 4.923415986E-06   5.514083910E+00
